code,date,name,close,momentum,ma120,pe,roe,month,pe_score,roe_score,mom_score,score,weight
001309.SZ,2025-01-27,德明利,74.30545263075784,0.3130817610062895,57.25769335777527,28.08,50.52,2025-01,0.5881981571487962,2.2043103937331114,0.9934783650595119,1.2351439112883769,0.2
09992.HK,2025-01-27,泡泡玛特,91.6911,0.3068335357197831,66.77287749999999,15.37,1.990510504415,2025-01,0.8167838374661556,-0.7817483356059486,0.9574554265010052,0.3934928211584642,0.2
603986.SH,2025-01-27,兆易创新,126.85716306288784,0.47624565469293145,89.874001756216,116.08,5.78,2025-01,-0.9944564351350451,-0.5485779827824411,1.9341683446500297,0.3107570124847661,0.2
688525.SH,2025-01-27,佰维存储,59.46432140715571,0.0016835016835017313,56.80783196748618,32.35,34.06,2025-01,0.511403440000478,1.191513284268516,-0.801828277778086,0.1901437061694638,0.2
301308.SZ,2025-01-27,江波龙,82.9460264378021,-0.004432199329180819,82.02746992864424,32.82,31.7,2025-01,0.5029506257007802,1.0463005759856214,-0.837087173179606,0.12994049123407805,0.2
001309.SZ,2025-02-28,德明利,112.10948164905028,1.0473157415832572,62.744533068112375,28.08,50.52,2025-02,0.49174021452126526,2.1896797366361826,2.686970384202817,1.8792141390283612,0.2
688525.SH,2025-02-28,佰维存储,75.01499100539677,0.26214898268034315,59.485558664801125,32.35,34.06,2025-02,0.41149651487674793,1.1594357682270129,0.05557540480426183,0.49350984685283295,0.2
00700.HK,2025-02-28,腾讯控股,468.9941,0.19650020562714232,407.64560083333333,16.19,33.206562370849,2025-02,0.7151822727819938,1.1060184553566457,-0.1644388283286108,0.48058468711014746,0.2
301308.SZ,2025-02-28,江波龙,102.09816513761469,0.18594945513563643,85.01405830949327,32.82,31.7,2025-02,0.40266407018519684,1.011721566195078,-0.19979844022943546,0.34439631482230826,0.2
603986.SH,2025-02-28,兆易创新,131.26828733579674,0.5509411764705885,98.16850857186635,116.08,5.78,2025-02,-1.1619941107053204,-0.6106310256132862,1.0234288196520382,-0.12241601303476665,0.2
001309.SZ,2025-03-31,德明利,92.64869924724054,0.3985172450843455,71.89598853309411,28.08,50.52,2025-03,0.558591949947072,2.2730116362061525,1.1707381926491538,1.317776352905629,0.2
09992.HK,2025-03-31,泡泡玛特,153.1447,0.7456783987762159,91.01589833333334,15.37,1.990510504415,2025-03,0.8129574212685531,-0.7614026023090628,2.683614769957116,1.0889123536706937,0.2
00700.HK,2025-03-31,腾讯控股,487.0248,0.19184671527130637,427.7921258333334,16.19,33.206562370849,2025-03,0.7965467456994253,1.1904504511287695,0.270098819698206,0.7041386869277408,0.2
688525.SH,2025-03-31,佰维存储,71.46711972816311,0.017501422879908857,64.95669265107603,32.35,34.06,2025-03,0.47313635887368677,1.2438135365536855,-0.48967198535264145,0.31921617448715506,0.2
301308.SZ,2025-03-31,江波龙,92.37738186840288,-0.03743760399334439,91.1550895564105,32.82,31.7,2025-03,0.4637302399499184,1.096249288972894,-0.7290880780022492,0.17635862747594405,0.2
09992.HK,2025-04-30,泡泡玛特,189.645,1.0617015655864508,106.54198333333333,15.37,1.990510504415,2025-04,0.6941869987710455,-0.5881801855155677,3.0563866111033535,1.2543566884179849,0.2
001309.SZ,2025-04-30,德明利,90.7552946682788,0.2213813583676596,76.90704509406244,28.08,50.52,2025-04,0.4013296280746766,2.7463960079889067,0.05050353650188901,0.9645191054198307,0.2
00700.HK,2025-04-30,腾讯控股,467.6222,0.1894316536588294,433.46265000000005,16.19,33.206562370849,2025-04,0.6752929748551506,1.5567486915640394,-0.06378275079404715,0.6440993996081381,0.2
600887.SH,2025-04-30,XD伊利股,27.132630881195364,0.06934962270930667,26.12556596651614,14.17,9.05,2025-04,0.7218367898674768,-0.10310593777565985,-0.4933244199032368,-0.011710512333749645,0.2
600519.SH,2025-04-30,贵州茅台,1457.378740039092,0.07805629307521311,1427.1677920266472,19.77,10.06,2025-04,0.5928044314174638,-0.03370644500444665,-0.4621800622355433,-0.017142628970312213,0.2
09992.HK,2025-05-30,泡泡玛特,216.5626,1.1238707019987055,127.50669166666667,15.37,1.990510504415,2025-05,0.5875531091365813,-0.5933338340432207,3.3630199221368025,1.3434737513827293,0.2
00700.HK,2025-05-30,腾讯控股,492.4624,0.050039648686412086,450.0279625,16.19,33.206562370849,2025-05,0.5662420640756899,3.171181082525212,-0.3547130252913196,0.9793417338637427,0.2
600887.SH,2025-05-30,XD伊利股,27.624956844765443,0.08602150537634423,26.267337609729378,14.17,9.05,2025-05,0.6187400043476416,0.2580087259704004,-0.23013948673218257,0.17096882440253958,0.2
600329.SH,2025-05-30,达仁堂,29.18343625621122,0.11739559355475171,26.640549533180067,13.46,5.63,2025-05,0.6371922506808524,-0.1544278329433131,-0.1215185999021767,0.09622188536039111,0.2
600519.SH,2025-05-30,贵州茅台,1433.8270474075616,0.023523557181476917,1433.5487970326421,19.77,10.06,2025-05,0.4732011600293596,0.37981016588351457,-0.4465149402395245,0.07729742167805242,0.2
09992.HK,2025-06-30,泡泡玛特,261.9583,0.7105280169669601,155.390045,15.37,1.990510504415,2025-06,0.7619347050251039,-0.7555941901841603,3.1884945013313835,1.2772999549848365,0.2
00700.HK,2025-06-30,腾讯控股,497.2071,0.020907148876196935,467.6670383333333,16.19,33.206562370849,2025-06,0.7433047539828441,1.6563165513441072,-0.2918620016400191,0.6031415909420778,0.2
688525.SH,2025-06-30,佰维存储,67.35958424945034,-0.057474479093833075,64.33281697648079,32.35,34.06,2025-06,0.3761584017353832,1.722257477947548,-0.6874358904845133,0.35455040771107393,0.2
301308.SZ,2025-06-30,江波龙,87.31738482785833,-0.05477528089887651,84.95555386208937,32.82,31.7,2025-06,0.3654802590648197,1.5399118893906771,-0.6738136635112579,0.30209217913214587,0.2
600329.SH,2025-06-30,达仁堂,28.65095448814615,0.08452535760728219,26.88059574959004,13.46,5.63,2025-06,0.8053288592820748,-0.474388743523569,0.0292043359805583,0.11096376911977501,0.2
00700.HK,2025-07-31,腾讯控股,543.6658,0.132709529546994,492.1386475,16.19,33.206562370849,2025-07,0.7346319651800199,2.052349845656099,-0.10607258077164297,0.7936655109421784,0.2
09992.HK,2025-07-31,泡泡玛特,241.7169,0.33882247247768427,185.067685,15.37,1.990510504415,2025-07,0.7501937892938826,-0.6340189096486242,1.5613174007540507,0.6593794241951979,0.2
600329.SH,2025-07-31,达仁堂,33.193437986699955,0.29956563767382516,27.812153265679463,13.46,5.63,2025-07,0.7864414527786109,-0.32081431516522263,1.243741744768318,0.6371848391913437,0.2
301308.SZ,2025-07-31,江波龙,89.10385321100918,0.12301886792452832,85.13652943014041,32.82,31.7,2025-07,0.41903058101717494,1.92269917431933,-0.18446703710177406,0.6287321117602419,0.2
002287.SZ,2025-07-31,奇正藏药,30.65172912329401,0.3261776961520835,22.31745195273344,17.99,1.89,2025-07,0.7004718634666633,-0.6426685710406438,1.4590250698399756,0.6009510156637962,0.2
301308.SZ,2025-08-29,江波龙,95.27166025451317,0.29930583911800723,84.31731557660056,32.82,31.7,2025-08,0.36985334860449837,1.2911594238900952,0.8825807051031376,0.851336113789633,0.2
001309.SZ,2025-08-29,德明利,94.22067319318224,0.10991472068624053,89.06121121468595,28.08,50.52,2025-08,0.47013863977668524,2.5575292560695444,-0.4366977588681959,0.7336212652065905,0.2
600329.SH,2025-08-29,达仁堂,41.15486489827198,0.39016658120270287,30.006584637380207,13.46,5.63,2025-08,0.7794574070630504,-0.46305213428834485,1.5155070072727899,0.7011243847415276,0.2
00700.HK,2025-08-29,腾讯控股,589.6303,0.1582524487353285,510.57884333333334,16.19,33.206562370849,2025-08,0.7216981570841327,1.3925337669687308,-0.09998226692478651,0.5942766704459443,0.2
688525.SH,2025-08-29,佰维存储,70.43773735758546,0.1375080697224016,64.94153507895264,32.35,34.06,2025-08,0.379797248784019,1.449960316767008,-0.2444854131484745,0.4511331044059183,0.2
001309.SZ,2025-09-30,德明利,204.4744444011077,1.3672137223360483,95.40172300011702,28.08,50.52,2025-09,0.503312179289353,2.3722581820752984,2.159092668225915,1.7263081756997614,0.2
301308.SZ,2025-09-30,江波龙,177.67875209628096,1.1275095602294458,88.21602499917793,32.82,31.7,2025-09,0.40756503294159907,1.1743385728528153,1.596492487827177,1.1131680768691952,0.2
688525.SH,2025-09-30,佰维存储,104.23745752548471,0.591394568202624,66.42514491305218,32.35,34.06,2025-09,0.4170589482967561,1.3245559096097261,0.33819814459161573,0.657763715208591,0.2
00700.HK,2025-09-30,腾讯控股,655.3644,0.3141724575076532,534.1583533333334,16.19,33.206562370849,2025-09,0.743488037954921,1.2702333978558298,-0.3124589325189094,0.4791328577356615,0.2
600329.SH,2025-09-30,达仁堂,38.691463746260915,0.3313882063882063,32.46245554292024,13.46,5.63,2025-09,0.7986335462944503,-0.48505378700000734,-0.2720525276372489,-0.01474708326656668,0.2
001309.SZ,2025-10-31,德明利,227.9996442918991,1.6710356933879464,111.39908258252402,28.08,50.52,2025-10,0.5399705645844188,2.1895690688311364,1.743646934251317,1.5163206637251934,0.2
301308.SZ,2025-10-31,江波龙,260.7944431291309,1.9268593189964158,106.65166346058992,32.82,31.7,2025-10,0.4492095547925697,1.0296271401343469,2.1359699392492355,1.2980389841777693,0.2
688525.SH,2025-10-31,佰维存储,130.92144713172098,1.060720465628441,73.74300419748151,32.35,34.06,2025-10,0.45820906420231,1.1750821322557299,0.8076868422891498,0.8130620958530719,0.2
00700.HK,2025-10-31,腾讯控股,621.756,0.12522375313109602,563.1414916666668,16.19,33.206562370849,2025-10,0.7676390047584877,1.1224818086861321,-0.6269612694311517,0.31625173626092523,0.2
600329.SH,2025-10-31,达仁堂,40.2801789819782,0.21349825221833862,34.36793116156996,13.46,5.63,2025-10,0.819912750904426,-0.5771574550370295,-0.49158629511350815,-0.12380792928518436,0.2
001309.SZ,2025-11-24,德明利,217.88031202464995,1.2049130610594418,134.18262619446938,28.08,50.52,2025-11,0.5322716146309631,2.115096896083522,1.789859125400394,1.510154203374503,0.2
301308.SZ,2025-11-24,江波龙,239.51650685607183,1.4843685300207037,133.36759951168986,32.82,31.7,2025-11,0.44536014788714445,0.9283995802079973,2.3659372376656838,1.358502813494816,0.2
688525.SH,2025-11-24,佰维存储,104.03757745352787,0.4724186704384721,82.14429675528018,32.35,34.06,2025-11,0.4539779515516159,1.0772096580754915,0.27987262428691456,0.5713053326028981,0.2
00700.HK,2025-11-24,腾讯控股,617.3078,0.0425709105617873,579.5156141666666,16.19,33.206562370849,2025-11,0.7502837115896132,1.0233960478852329,-0.6062287892644167,0.2896124121366871,0.2
600887.SH,2025-11-24,XD伊利股,27.467277773115537,0.044059227157818626,26.4959253639292,14.17,9.05,2025-11,0.7873219315943629,-0.49979883661350266,-0.603160727586176,-0.15500736254021236,0.2
301308.SZ,2025-12-31,江波龙,244.35693795008385,0.37527383025332806,172.1365416625563,32.82,31.7,2025-12,0.38659407486549413,0.9495264662057334,1.9007786724524296,1.16114763130234,0.2
001309.SZ,2025-12-31,德明利,231.64580053824253,0.13288387317406802,163.04919292224085,28.08,50.52,2025-12,0.476301614634547,2.0908017308622613,0.35049506536139213,0.9103290297935994,0.2
688525.SH,2025-12-31,佰维存储,114.72116729962023,0.1005752636625119,92.98437604104205,32.35,34.06,2025-12,0.39548912627719346,1.0926406864283376,0.14385487161238833,0.5039808924566146,0.2
600887.SH,2025-12-31,XD伊利股,27.63086738569042,0.06606239653935009,26.715574137417597,14.17,9.05,2025-12,0.7395572851382441,-0.4240061982188329,-0.07688336680090224,0.0639119793554625,0.2
000333.SZ,2025-12-31,美的集团,74.44906096943085,0.08231152412692055,71.50045829533299,14.54,5.46,2025-12,0.7325547978566938,-0.6417096094896582,0.02704320025692352,0.038070836612880105,0.2
001309.SZ,2026-01-30,德明利,271.51377198798707,0.20977433569234893,192.64158518922994,28.08,50.52,2026-01,0.7414198799023497,1.6451071159075468,-0.4412435852204764,0.5394606646547784,0.2
688525.SH,2026-01-30,佰维存储,187.1676993803718,0.4994395516413128,109.28759411020057,32.35,34.06,2026-01,0.665238923524621,0.7541169782048697,0.10120189512806767,0.46628752857007427,0.2
688766.SH,2026-01-30,普冉股份,305.9110981987217,1.6842105263157898,123.56817279198141,158.79,9.32,2026-01,-1.5905737519788912,-0.5850747597516452,2.319879268435956,0.2752571538552215,0.2
301308.SZ,2026-01-30,江波龙,335.33708197691624,0.29729729729729715,212.04140491105193,32.82,31.7,2026-01,0.6568536660310538,0.6263686960069158,-0.27734252863766534,0.27402969715632475,0.2
000333.SZ,2026-01-30,美的集团,73.91558081405168,0.02814378106502291,72.4405244215504,14.54,5.46,2026-01,0.9829866596106505,-0.7940189840245695,-0.7813764973756984,-0.2558602962744551,0.2
688525.SH,2026-02-27,佰维存储,165.7005796522087,0.579198018858939,120.92777666733294,32.35,34.06,2026-02,0.5666104976425971,0.8694921628424418,1.085214968150672,0.8649167854057805,0.2
001309.SZ,2026-02-27,德明利,255.68046335660517,0.1578304532706052,210.4146822418971,28.08,50.52,2026-02,0.6445214367380008,1.8116805104649956,-0.4954665427389094,0.5386739670653351,0.2
301308.SZ,2026-02-27,江波龙,291.1244845615073,0.20791751211230247,235.9042311910164,32.82,31.7,2026-02,0.5580348205056324,0.7344031895502651,-0.3075743215249531,0.264701674406788,0.2
603986.SH,2026-02-27,兆易创新,299.5650713389084,0.5738117721120553,225.9958840190237,116.08,5.78,2026-02,-0.9611372612468978,-0.7492858730485558,1.0650094721865946,-0.08712315141399818,0.2
688766.SH,2026-02-27,普冉股份,259.42460778617084,0.6528662420382167,147.11682924171996,158.79,9.32,2026-02,-1.7404291134166137,-0.5466524131102909,1.3615675112254675,-0.14149745346788434,0.2
001309.SZ,2026-03-31,德明利,379.6997230781232,0.7494361853914482,248.54365360063449,28.08,50.52,2026-03,0.4803222357968309,1.4722441825045178,0.9110842638643764,0.9502036310361551,0.2
688525.SH,2026-03-31,佰维存储,211.86288227063764,0.9177673240455944,147.00671263908322,32.35,34.06,2026-03,0.39897196356099557,0.5943379183809447,1.3408035767503486,0.8343143952827216,0.2
301308.SZ,2026-03-31,江波龙,296.49386998125675,0.1640153592978606,274.7293123623031,32.82,31.7,2026-03,0.39001771813925257,0.4684655743146242,-0.583390478892188,0.024188796179287833,0.2
600519.SH,2026-03-31,贵州茅台,1416.4764118756,0.02533641641386808,1388.7695301381323,19.77,10.06,2026-03,0.6386409154876486,-0.6857198178867197,-0.9374130354098047,-0.38908888488364324,0.2
688766.SH,2026-03-31,普冉股份,225.12457582800695,0.7406663059441909,180.17813785589775,158.79,9.32,2026-03,-2.0099105707479077,-0.7251882647549726,0.8886963289861411,-0.4650511190564076,0.2
001309.SZ,2026-04-30,德明利,524.81,0.8880979378629652,295.15706004199336,28.08,50.52,2026-04,0.6327770589689464,1.9393769107767982,2.410662784406183,1.7359113046861967,0.2
688525.SH,2026-04-30,佰维存储,264.92104737157706,0.4228663446054748,172.38448597508162,32.35,34.06,2026-04,0.5508581693742802,0.9908500674921902,0.8030192712996417,0.7837201795797978,0.2
301308.SZ,2026-04-30,江波龙,400.3286021505376,0.08866874745555697,302.30895763868335,32.82,31.7,2026-04,0.5418413360933686,0.8548522940929388,-0.35182620123579034,0.278277608561576,0.2
600887.SH,2026-04-30,XD伊利股,26.52949714723982,0.04133485020857042,26.24106104823578,14.17,9.05,2026-04,0.8996369545806101,-0.45038057348885746,-0.515392119720292,-0.07137993356059102,0.2
000333.SZ,2026-04-30,美的集团,77.25935821651747,0.06570302233902758,74.3752250492597,14.54,5.46,2026-04,0.8925385964658499,-0.657258542346193,-0.4311860287764407,-0.10189039527467925,0.2
001309.SZ,2026-05-29,德明利,640.0,1.5985588470573755,356.99633574827413,28.08,50.52,2026-05,0.7405135045591724,1.7871325888330585,1.836138812351284,1.492749352958183,0.2
688525.SH,2026-05-29,佰维存储,327.1736957825305,1.0396884735202492,201.25566326870546,32.35,34.06,2026-05,0.6591132557635059,0.8869351314941513,0.7041077763340432,0.7454576267109145,0.2
301308.SZ,2026-05-29,江波龙,550.202321199566,0.9481588804862533,344.0621669461708,32.82,31.7,2026-05,0.6501535094089478,0.7578667232730198,0.5187081829136065,0.629889342970033,0.2
000333.SZ,2026-05-29,美的集团,77.02119743286606,0.04389928986442859,74.83734243371053,14.54,5.46,2026-05,0.9986304527309113,-0.6771989681348128,-1.3129328731713752,-0.4287437038897205,0.2
688008.SH,2026-05-29,澜起科技,253.00000000000003,0.5868038133467137,160.08333333333334,104.8,4.06,2026-05,-0.7220221131465737,-0.7537649730117553,-0.21324178329242635,-0.5280328391644693,0.2
001309.SZ,2026-06-30,德明利,942.9,1.4832780818383644,445.33141575009427,28.08,50.52,2026-06,0.8585590563989792,1.9339491041765995,0.3106266220873846,0.9620030970076274,0.2
688525.SH,2026-06-30,佰维存储,494.73,1.3351424029435348,246.56285831834236,32.35,34.06,2026-06,0.7794243498766671,1.000952652902553,0.15109871103276767,0.594552585246873,0.2
301308.SZ,2026-06-30,江波龙,703.8,1.3737421621718235,400.41915064450365,32.82,31.7,2026-06,0.7707139723437663,0.8671815942751683,0.1926669476847347,0.5684354490595742,0.2
603986.SH,2026-06-30,兆易创新,815.0,2.4279011829420103,354.384112274064,116.08,5.78,2026-06,-0.7723201412505423,-0.6020327445476313,1.3278950558452332,0.11885215659864118,0.2
688766.SH,2026-06-30,普冉股份,766.6,2.4052257385958393,313.7708958454387,158.79,9.32,2026-06,-1.5638525336552134,-0.40137615660655457,1.3034757782223987,-0.06817829578957085,0.2
001309.SZ,2026-07-21,德明利,508.0,-0.0323809523809524,507.0803294752785,28.08,50.52,2026-07,0.8138239003283805,2.810102746174824,-1.0593639686657135,0.6634324064846758,0.2
688766.SH,2026-07-21,普冉股份,470.02,0.7190369068130464,374.3688131415843,158.79,9.32,2026-07,-1.667165977736799,-0.04279344283514949,1.919068823315109,0.25463970315445905,0.2
002422.SZ,2026-07-21,科伦药业,47.36,0.4185106193511807,34.87515679722874,47.94,1.84,2026-07,0.43686376737470856,-0.5607464402573484,0.7278576503616294,0.25397825827985987,0.2
600887.SH,2026-07-21,伊利股份,27.07,0.10792647678650313,25.46290756148758,14.17,9.05,2026-07,1.0778478403780067,-0.061489607180603166,-0.5032203491367226,0.10361933030453202,0.2
603986.SH,2026-07-21,兆易创新,475.53,0.5167221044197765,397.265909248422,116.08,5.78,2026-07,-0.8564929022860776,-0.28792093091998694,1.1171434573175691,0.10353323296520839,0.2
